Time(s),ADC
0.0148,219
0.0148,693
0.0148,623
0.0148,155
0.0148,0
0.0148,222
0.0148,693
0.0148,633
0.0148,163
0.0158,0
0.0158,227
0.0158,693
0.0158,634
0.0158,148
0.0158,0
0.0158,225
0.0158,693
0.0158,633
0.0158,172
0.0158,0
0.0158,226
0.0158,693
0.0158,644
0.0158,170
0.0158,0
0.0158,232
0.0158,694
0.0158,634
0.0158,162
0.0158,0
0.0158,216
0.0158,694
0.0168,621
0.0168,164
0.0168,0
0.0168,223
0.0168,693
0.0168,625
0.0168,150
0.0168,0
0.0168,236
0.0168,693
0.0168,652
0.0168,184
0.0168,0
0.0168,222
0.0168,693
0.0168,660
0.0168,209
0.0183,0
0.0232,224
0.0272,693
0.0305,649
0.0350,180
0.0385,0
0.0428,217
0.0468,693
0.0507,650
0.0547,190
0.0592,0
0.0633,207
0.0672,693
0.0711,642
0.0750,200
0.0785,0
0.0830,212
0.0870,693
0.0907,660
0.0956,201
0.0991,0
0.1031,223
0.1071,693
0.1106,666
0.1156,204
0.1191,0
0.1231,210
0.1271,694
0.1306,631
0.1346,164
0.1386,0
0.1431,205
0.1471,693
0.1506,659
0.1546,195
0.1591,0
0.1633,183
0.1671,692
0.1707,649
0.1758,202
0.1792,0
0.1832,207
0.1872,693
0.1907,656
0.1947,220
0.1992,0
0.2032,210
0.2072,693
0.2107,667
0.2147,219
0.2192,0
0.2232,205
0.2272,693
0.2307,667
0.2347,233
0.2392,0
0.2432,218
0.2472,693
0.2507,662
0.2547,214
0.2592,0
0.2632,216
0.2672,693
0.2707,658
0.2747,217
0.2792,0
0.2832,211
0.2873,693
0.2908,663
0.2948,234
0.2993,0
0.3034,216
0.3074,693
0.3106,671
0.3146,249
0.3192,0
0.3232,202
0.3272,693
0.3307,678
0.3347,261
0.3387,0
0.3427,207
0.3467,693
0.3512,677
0.3552,256
0.3587,0
0.3627,203
0.3667,692
0.3712,677
0.3752,254
0.3787,0
0.3827,199
0.3867,693
0.3913,674
0.3947,258
0.3992,0
0.4032,194
0.4072,694
0.4107,680
0.4148,267
0.4193,0
0.4233,199
0.4273,693
0.4308,679
0.4348,241
0.4393,0
0.4433,183
0.4473,693
0.4508,675
0.4548,262
0.4593,0
0.4633,186
0.4673,694
0.4708,677
0.4748,252
0.4793,0
0.4833,180
0.4873,693
0.4908,685
0.4948,262
0.4994,0
0.5024,182
0.5065,693
0.5110,680
0.5150,279
0.5185,0
0.5235,187
0.5275,693
0.5311,683
0.5351,268
0.5386,0
0.5426,170
0.5466,693
0.5511,676
0.5551,272
0.5586,0
0.5626,185
0.5666,693
0.5715,685
0.5755,283
0.5790,0
0.5830,179
0.5870,693
0.5905,682
0.5945,297
0.5990,0
0.6030,189
0.6070,692
0.6105,688
0.6148,304
0.6193,0
0.6233,190
0.6273,693
0.6314,691
0.6354,330
0.6385,0
0.6425,197
0.6465,692
0.6511,688
0.6551,322
0.6586,0
0.6626,186
0.6666,693
0.6711,693
0.6751,327
0.6786,0
0.6826,211
0.6866,692
0.6911,691
0.6951,327
0.6986,0
0.7026,231
0.7066,693
0.7111,690
0.7151,291
0.7186,0
0.7226,173
0.7266,693
0.7311,690
0.7351,305
0.7386,0
0.7426,164
0.7466,693
0.7511,689
0.7551,310
0.7586,0
0.7626,165
0.7666,693
0.7711,690
0.7751,318
0.7787,0
0.7827,167
0.7867,693
0.7913,690
0.7953,316
0.7988,0
0.8028,157
0.8068,692
0.8113,690
0.8153,315
0.8188,0
0.8228,150
0.8268,692
0.8313,689
0.8353,313
0.8389,0
0.8429,147
0.8469,693
0.8514,686
0.8554,306
0.8589,0
0.8629,143
0.8669,692
0.8714,680
0.8754,287
0.8789,0
0.8829,123
0.8869,692
0.8914,684
0.8954,293
0.8989,0
0.9029,129
0.9069,692
0.9114,685
0.9154,296
0.9189,0
0.9229,128
0.9269,693
0.9314,687
0.9354,300
0.9389,0
0.9430,128
0.9469,692
0.9515,685
0.9555,290
0.9590,0
0.9630,121
0.9670,692
0.9715,682
0.9755,304
0.9790,0
0.9830,121
0.9870,693
0.9915,686
0.9955,297
0.9990,0
1.0030,114
1.0070,693
1.0115,687
1.0155,315
1.0190,0
1.0230,135
1.0270,692
1.0315,688
1.0355,308
1.0390,0
1.0430,132
1.0470,693
1.0515,690
1.0555,308
1.0590,0
1.0630,123
1.0670,693
1.0716,684
1.0756,293
1.0791,0
1.0831,117
1.0871,692
1.0916,685
1.0956,323
1.0986,0
1.1028,119
1.1068,692
1.1113,690
1.1153,328
1.1188,0
1.1228,106
1.1268,693
1.1313,691
1.1353,341
1.1388,0
1.1428,111
1.1468,692
1.1513,690
1.1553,334
1.1583,0
1.1628,110
1.1667,692
1.1713,683
1.1753,326
1.1788,0
1.1828,107
1.1868,692
1.1913,692
1.1953,360
1.1988,0
1.2028,112
1.2068,692
1.2113,691
1.2153,350
1.2188,0
1.2228,115
1.2268,692
1.2313,691
1.2353,343
1.2388,0
1.2429,100
1.2468,693
1.2513,692
1.2553,339
1.2588,0
1.2629,91
1.2668,683
1.2713,689
1.2753,330
1.2789,0
1.2829,88
1.2869,676
1.2914,690
1.2954,328
1.2989,0
1.3029,92
1.3069,680
1.3114,690
1.3154,340
1.3195,0
1.3235,90
1.3275,675
1.3310,690
1.3350,334
1.3391,0
1.3431,76
1.3471,648
1.3516,685
1.3551,313
1.3597,0
1.3637,74
1.3667,670
1.3712,687
1.3752,321
1.3797,0
1.3837,86
1.3867,680
1.3912,690
1.3952,336
1.3987,0
1.4037,82
1.4067,667
1.4112,689
1.4152,338
1.4197,0
1.4237,79
1.4267,658
1.4312,688
1.4352,336
1.4392,0
1.4432,70
1.4472,646
1.4517,692
1.4557,352
1.4592,0
1.4632,67
1.4672,638
1.4717,692
1.4757,359
1.4793,0
1.4833,70
1.4872,646
1.4918,692
1.4958,370
1.4993,0
1.5033,63
1.5073,641
1.5114,691
1.5154,346
1.5189,0
1.5229,65
1.5269,640
1.5314,691
1.5354,346
1.5394,0
1.5434,59
1.5474,649
1.5509,692
1.5549,369
1.5595,0
1.5635,67
1.5675,645
1.5710,691
1.5750,360
1.5795,0
1.5835,53
1.5875,638
1.5916,691
1.5956,353
1.5992,0
1.6032,54
1.6071,621
1.6116,692
1.6156,348
1.6192,0
1.6232,55
1.6272,627
1.6317,689
1.6347,364
1.6382,0
1.6429,63
1.6469,647
1.6514,690
1.6554,339
1.6589,0
1.6629,59
1.6669,637
1.6714,690
1.6754,345
1.6789,0
1.6829,48
1.6869,609
1.6914,692
1.6954,362
1.6989,0
1.7029,48
1.7069,625
1.7114,692
1.7154,353
1.7190,0
1.7230,53
1.7270,638
1.7318,692
1.7358,382
1.7383,0
1.7429,51
1.7469,617
1.7514,692
1.7554,364
1.7589,0
1.7629,45
1.7669,616
1.7714,692
1.7754,365
1.7789,0
1.7829,43
1.7869,618
1.7915,692
1.7955,367
1.7990,0
1.8030,49
1.8070,625
1.8115,692
1.8155,384
1.8190,0
1.8230,47
1.8270,621
1.8315,692
1.8355,388
1.8390,0
1.8430,49
1.8470,637
1.8515,691
1.8555,387
1.8590,0
1.8631,33
1.8670,600
1.8716,692
1.8756,377
1.8791,0
1.8831,39
1.8871,616
1.8916,691
1.8956,360
1.8991,0
1.9031,43
1.9071,619
1.9116,692
1.9156,391
1.9191,0
1.9231,39
1.9271,611
1.9316,692
1.9356,402
1.9391,0
1.9436,41
1.9476,619
1.9511,692
1.9551,385
1.9597,0
1.9637,30
1.9667,582
1.9712,692
1.9752,382
1.9797,0
1.9837,26
1.9867,581
1.9912,693
1.9952,369
1.9997,0
2.0037,29
2.0067,605
2.0112,692
2.0152,399
2.0197,0
2.0237,36
2.0267,613
2.0312,692
2.0352,401
2.0387,0
2.0432,26
2.0472,609
2.0517,692
2.0557,365
2.0592,0
2.0632,26
2.0672,588
2.0717,692
2.0757,367
2.0792,0
2.0832,22
2.0872,581
2.0914,691
2.0954,398
2.0989,0
2.1039,21
2.1083,580
2.1108,692
2.1148,396
2.1193,0
2.1235,26
2.1275,598
2.1310,692
2.1350,428
2.1395,0
2.1431,18
2.1471,586
2.1511,692
2.1557,423
2.1592,0
2.1632,26
2.1672,609
2.1717,692
2.1757,418
2.1792,0
2.1832,24
2.1872,595
2.1917,692
2.1957,423
2.1992,0
2.2032,21
2.2072,593
2.2117,692
2.2157,416
2.2192,0
2.2232,25
2.2272,600
2.2317,692
2.2357,412
2.2392,0
2.2437,18
2.2467,583
2.2512,691
2.2552,420
2.2598,0
2.2638,17
2.2668,575
2.2713,692
2.2753,410
2.2788,0
2.2828,14
2.2868,563
2.2913,692
2.2953,398
2.2988,0
2.3029,12
2.3069,565
2.3114,692
2.3154,415
2.3189,0
2.3229,17
2.3269,581
2.3314,692
2.3354,420
2.3395,0
2.3440,18
2.3474,569
2.3519,691
2.3553,406
2.3589,0
2.3639,13
2.3669,564
2.3714,692
2.3754,421
2.3799,0
2.3839,12
2.3869,558
2.3914,692
2.3954,414
2.3999,0
2.4029,11
2.4069,544
2.4114,692
2.4154,425
2.4189,0
2.4229,12
2.4269,553
2.4314,692
2.4354,433
2.4389,0
2.4434,16
2.4474,566
2.4509,692
2.4549,416
2.4594,0
2.4634,15
2.4674,564
2.4710,691
2.4750,440
2.4798,0
2.4838,9
2.4868,539
2.4914,692
2.4955,419
2.4989,0
2.5029,5
2.5069,550
2.5115,692
2.5155,435
2.5195,0
2.5235,9
2.5275,553
2.5311,692
2.5351,448
2.5396,0
2.5431,10
2.5471,564
2.5516,692
2.5556,464
2.5591,0
2.5631,7
2.5671,550
2.5716,692
2.5760,441
2.5795,0
2.5835,4
2.5875,533
2.5910,692
2.5960,441
2.5995,0
2.6035,4
2.6075,541
2.6120,692
2.6160,449
2.6195,0
2.6235,5
2.6275,544
2.6320,691
2.6360,459
2.6395,0
2.6440,5
2.6470,532
2.6515,691
2.6555,440
2.6590,0
2.6630,3
2.6670,538
2.6715,692
2.6755,441
2.6790,0
2.6830,3
2.6870,528
2.6915,691
2.6955,448
2.6990,0
2.7030,4
2.7070,536
2.7115,692
2.7155,454
2.7190,0
2.7230,1
2.7270,512
2.7311,692
2.7360,448
2.7396,0
2.7431,1
2.7473,519
2.7519,692
2.7559,456
2.7594,0
2.7634,2
2.7674,532
2.7719,692
2.7759,441
2.7794,0
2.7834,2
2.7874,528
2.7919,692
2.7959,450
2.7994,0
2.8034,3
2.8075,531
2.8110,692
2.8150,453
2.8195,0
2.8235,4
2.8275,542
2.8310,692
2.8350,470
2.8395,0
2.8430,3
2.8470,532
2.8515,692
2.8555,485
2.8600,0
2.8640,2
2.8670,534
2.8715,691
2.8755,471
2.8800,0
2.8840,0
2.8870,515
2.8915,691
2.8955,475
2.9000,0
2.9040,1
2.9070,529
2.9115,691
2.9155,489
2.9200,0
2.9240,0
2.9270,518
2.9315,692
2.9355,475
2.9401,0
2.9436,1
2.9476,519
2.9517,692
2.9557,489
2.9592,0
2.9632,0
2.9672,517
2.9717,692
2.9757,485
2.9792,0
2.9832,0
2.9872,502
2.9917,691
2.9957,489
2.9992,0
3.0032,0
3.0072,505
3.0117,691
3.0157,508
3.0192,0
3.0232,0
3.0272,504
3.0317,691
3.0357,495
3.0392,0
3.0437,0
3.0477,506
3.0512,691
3.0552,488
3.0598,0
3.0638,0
3.0668,524
3.0713,692
3.0753,487
3.0798,0
3.0838,0
3.0868,514
3.0913,692
3.0953,494
3.0998,0
3.1038,0
3.1068,508
3.1113,691
3.1153,487
3.1198,0
3.1238,0
3.1268,493
3.1314,692
3.1354,501
3.1399,0
3.1434,0
3.1474,497
3.1519,691
3.1559,501
3.1594,0
3.1634,0
3.1674,492
3.1719,692
3.1759,507
3.1794,0
3.1834,0
3.1874,477
3.1919,691
3.1959,495
3.1994,0
3.2034,0
3.2074,487
3.2119,692
3.2159,496
3.2194,0
3.2234,0
3.2274,485
3.2319,691
3.2359,509
3.2394,0
3.2439,0
3.2469,479
3.2514,692
3.2554,507
3.2600,0
3.2640,0
3.2670,482
3.2715,692
3.2755,519
3.2800,0
3.2840,0
3.2870,489
3.2915,692
3.2955,517
3.3000,0
3.3040,0
3.3070,478
3.3115,692
3.3155,529
3.3200,0
3.3240,0
3.3270,471
3.3315,692
3.3355,525
3.3401,0
3.3436,0
3.3476,475
3.3521,691
3.3561,519
3.3596,0
3.3636,0
3.3676,466
3.3721,692
3.3761,518
3.3796,0
3.3836,0
3.3876,464
3.3921,692
3.3961,514
3.3996,0
3.4036,0
3.4076,456
3.4121,692
3.4161,515
3.4196,0
3.4236,0
3.4276,448
3.4321,692
3.4361,513
3.4396,0
3.4441,0
3.4471,432
3.4516,692
3.4556,510
3.4591,0
3.4631,0
3.4671,437
3.4716,692
3.4756,517
3.4791,0
3.4831,0
3.4871,441
3.4917,691
3.4957,512
3.4992,0
3.5033,0
3.5073,426
3.5118,691
3.5158,516
3.5203,0
3.5233,0
3.5273,428
3.5318,691
3.5358,526
3.5393,0
3.5438,0
3.5468,427
3.5513,692
3.5553,529
3.5598,0
3.5638,0
3.5668,443
3.5713,691
3.5753,513
3.5798,0
3.5838,0
3.5868,438
3.5914,692
3.5954,516
3.5994,0
3.6034,0
3.6074,430
3.6119,691
3.6159,525
3.6194,0
3.6234,0
3.6266,431
3.6321,692
3.6361,540
3.6396,6
3.6441,0
3.6471,435
3.6517,692
3.6557,539
3.6592,3
3.6632,0
3.6672,417
3.6717,692
3.6761,539
3.6796,0
3.6836,0
3.6881,419
3.6911,692
3.6951,546
3.6996,8
3.7037,0
3.7067,413
3.7122,692
3.7162,553
3.7197,19
3.7237,0
3.7282,414
3.7322,692
3.7362,546
3.7397,9
3.7442,0
3.7472,415
3.7517,691
3.7557,545
3.7602,5
3.7642,0
3.7672,410
3.7717,691
3.7757,557
3.7802,14
3.7842,0
3.7882,391
3.7923,692
3.7963,545
3.7998,4
3.8038,0
3.8083,398
3.8123,692
3.8153,534
3.8199,3
3.8239,0
3.8269,393
3.8314,691
3.8354,543
3.8399,8
3.8434,0
3.8479,386
3.8514,692
3.8554,550
3.8599,12
3.8639,0
3.8669,398
3.8714,692
3.8754,546
3.8799,7
3.8839,0
3.8869,383
3.8914,692
3.8954,540
3.8999,10
3.9039,0
3.9069,372
3.9114,691
3.9154,550
3.9199,23
3.9239,0
