Time(s),Filtered_Voltage
0.0,0.060349360610178385
0.0,-0.015854204490259625
0.0,-0.0682058947669362
0.0,-0.0832559930888205
0.0,-0.06414984433573297
0.0,-0.03533777560952668
0.0,-0.02551296460370108
0.0,-0.04039927407319991
0.0012,-0.05818429710462727
0.0012,-0.05654450986304279
0.0012,-0.039240298905210066
0.0012,-0.029250235248329464
0.0012,-0.03842020135508216
0.0012,-0.05349796102927741
0.0012,-0.055376411933531544
0.0012,-0.044273849458507236
0.0012,-0.03753330234830833
0.0012,-0.04494359450616025
0.0012,-0.05597941447934245
0.0012,-0.0553157653113271
0.0012,-0.044054199756020436
0.0012,-0.03756396686732795
0.0012,-0.043874223222155846
0.0012,-0.052798463284584235
0.0012,-0.05029150457179754
0.0012,-0.03780880738475664
0.0012,-0.03032863531416816
0.0012,-0.036363520339952056
0.0012,-0.04729591579501042
0.0012,-0.04968869577988648
0.0012,-0.04292480625086451
0.0012,-0.03843125684202846
0.0012,-0.0428486965468112
0.0012,-0.04906473056387301
0.0012,-0.04700286267292311
0.0012,-0.03832177049257453
0.0012,-0.034375026296408304
0.0012,-0.040610085858627055
0.0012,-0.04918620039751724
0.0012,-0.049662944856361274
0.0022,-0.04269401193072324
0.0022,-0.03822257680409801
0.0022,-0.04147505005004211
0.0022,-0.04637851738687904
0.0022,-0.04488968682053461
0.0022,-0.03848059957295228
0.0022,-0.035675265751381205
0.0022,-0.039620022954829054
0.0022,-0.04356343330291777
0.0022,-0.04060615480079429
0.0022,-0.03382393719752508
0.0022,-0.03235416779353338
0.0022,-0.038712594861295524
0.0022,-0.04484716809743207
0.0022,-0.04248998928078414
0.0022,-0.03401569220194087
0.0022,-0.029478938638448
0.0022,-0.03389705625206277
0.0022,-0.04130369004085937
0.0022,-0.042700993033395876
0.0022,-0.037018884186682394
0.0022,-0.03120431475568303
0.0022,-0.030504573949977687
0.0022,-0.032396553432191305
0.0022,-0.03155986459590342
0.0022,-0.02799905746923699
0.0022,-0.02680265831265084
0.0022,-0.030324569333066258
0.0022,-0.03421213482003035
0.0022,-0.033058367215514695
0.0022,-0.027845102297971318
0.0022,-0.024828029351323135
0.0032,-0.027310776455034574
0.0032,-0.031355502377301586
0.0032,-0.030976422243534904
0.0032,-0.025714705098300712
0.0032,-0.020770683851773934
0.0032,-0.020118202854102173
0.0032,-0.022033936694783707
0.0032,-0.022504139123915856
0.0032,-0.021084174419432226
0.0032,-0.020947351388825454
0.0032,-0.023506165449655888
0.0032,-0.025667681940877405
0.0032,-0.02383790740252914
0.0032,-0.019109811888556177
0.0032,-0.0163205682552399
0.0032,-0.018086020860770977
0.0032,-0.021706161152611494
0.0032,-0.022867178937536037
0.0032,-0.021044519682567354
0.0032,-0.01958271514599884
0.0032,-0.02078010696537322
0.0032,-0.02277475966541749
0.0032,-0.022218540514446224
0.0032,-0.018908470597047075
0.0032,-0.0161641932312877
0.0032,-0.01653101595402979
0.0032,-0.018466048522582868
0.0032,-0.01824931877000452
0.0032,-0.014588962946618069
