Time(s),ADC
0.005972862243652344,442
0.0208590030670166,203
0.036385536193847656,214
0.05236935615539551,275
0.06838679313659668,525
0.08439159393310547,428
0.10039734840393066,204
0.11590814590454102,224
0.13192081451416016,292
0.1472933292388916,533
0.16330909729003906,416
0.1793065071105957,197
0.19530749320983887,219
0.21131587028503418,301
0.22683191299438477,540
0.24281859397888184,401
0.2580885887145996,201
0.27408909797668457,228
0.29009103775024414,316
0.3061237335205078,548
0.32167792320251465,390
0.33766865730285645,201
0.3538544178009033,233
0.36970949172973633,333
0.385714054107666,551
0.4017372131347656,372
0.4176926612854004,200
0.43369174003601074,241
0.44901347160339355,353
0.4638962745666504,547
0.4798862934112549,354
0.49587321281433105,200
0.5119075775146484,246
0.5274431705474854,374
0.5434379577636719,544
0.5594468116760254,341
0.5741696357727051,198
0.5892963409423828,249
0.6053223609924316,389
0.6211962699890137,535
0.6366472244262695,329
0.6520423889160156,202
0.6681509017944336,250
0.6841700077056885,406
0.700153112411499,541
0.7156832218170166,315
0.7321093082427979,208
0.747122049331665,261
0.7625634670257568,424
0.7785630226135254,539
0.7935779094696045,296
0.8095855712890625,205
0.8252475261688232,258
0.8408243656158447,443
0.8559401035308838,528
0.8718295097351074,273
0.8878974914550781,202
0.903998851776123,258
0.9195895195007324,460
0.9354612827301025,523
0.9510455131530762,257
0.967045783996582,204
0.9830477237701416,257
0.9990320205688477,476
1.0150806903839111,518
1.0303704738616943,254
1.045384168624878,222
1.0613808631896973,275
1.0767652988433838,493
1.092759132385254,501
1.1077628135681152,236
1.1232786178588867,214
1.1392772197723389,271
1.1542749404907227,500
1.1697463989257812,482
1.1847240924835205,231
1.2007405757904053,227
1.2163355350494385,278
1.2323400974273682,522
1.2483456134796143,468
1.2643606662750244,216
1.2803425788879395,218
1.2963428497314453,273
1.3123528957366943,518
1.3280539512634277,437
1.344048261642456,203
1.3594143390655518,221
1.3754262924194336,283
1.3914122581481934,536
1.4074151515960693,424
1.422562837600708,202
1.4385511875152588,222
1.4545533657073975,302
1.4705638885498047,552
1.4865684509277344,415
1.5025978088378906,205
1.5187058448791504,240
1.5347068309783936,320
1.5507051944732666,556
1.5667057037353516,400
1.5827052593231201,202
1.598705768585205,237
1.6147310733795166,341
